時間戳記,性別,年齡,職業身分,是否遭遇釣魚,查看網址習慣,釣魚攻擊的認識程度,相似程度(組一),網站判斷(組一),相似程度(組二),網站判斷(組二),相似程度(組三),網站判斷(組三),相似程度(組四),網站判斷(組四),用戶教育效果 ,釣魚警覺性  
3/2/2025 21:56:06,女,18 - 24,學生,從未遇過 / 不確定,2,2,5,不確定,5,不確定,5,不確定,5,不確定,4,會覺得奇怪，但不一定會改密碼
3/2/2025 22:08:14,男,18 - 24,學生,從未遇過 / 不確定,1,2,4,圖一,5,不確定,4,圖五,4,圖八,5,會覺得奇怪，但不一定會改密碼
3/2/2025 22:09:44,男,18 - 24,學生,是，但沒有受害,4,3,5,圖二,5,不確定,3,圖六,3,圖八,4,會馬上改密碼，防止帳號被盜
3/2/2025 22:10:20,男,18 - 24,學生,是，但沒有受害,4,4,2,圖一,5,不確定,3,圖六,4,圖八,5,會覺得奇怪，但不一定會改密碼
3/2/2025 22:21:41,女,18 - 24,學生,從未遇過 / 不確定,3,4,3,圖一,4,不確定,3,圖六,3,圖八,5,會覺得奇怪，但不一定會改密碼
3/2/2025 22:22:37,男,18 - 24,學生,是，但沒有受害,2,4,4,不確定,4,不確定,4,圖六,4,圖八,5,會馬上改密碼，防止帳號被盜
3/2/2025 22:46:08,男,18 - 24,學生,是，但沒有受害,3,5,5,圖一,5,圖四,5,不確定,5,不確定,3,會馬上改密碼，防止帳號被盜
3/2/2025 23:03:21,女,18 - 24,學生,從未遇過 / 不確定,5,5,3,不確定,1,圖三,2,圖五,4,不確定,5,會馬上改密碼，防止帳號被盜
3/3/2025 0:43:19,女,18 - 24,學生,是，並且有受害,1,2,4,圖一,5,不確定,4,圖六,5,圖八,4,不會特別在意，繼續使用網站
3/3/2025 1:13:33,女,>  44,退休,是，但沒有受害,3,3,5,圖一,5,不確定,5,圖五,5,圖八,5,會覺得奇怪，但不一定會改密碼
3/3/2025 1:44:02,男,18 - 24,學生,是，並且有受害,2,3,4,圖一,5,不確定,4,圖五,3,圖八,5,會覺得奇怪，但不一定會改密碼
3/3/2025 1:50:58,男,18 - 24,學生,是，但沒有受害,5,5,4,圖一,4,圖三,4,圖六,4,圖八,4,會馬上改密碼，防止帳號被盜
3/3/2025 2:29:53,女,18 - 24,學生,是，但沒有受害,3,4,4,圖一,5,圖四,5,圖五,5,圖八,5,會覺得奇怪，但不一定會改密碼
3/3/2025 2:36:48,男,18 - 24,學生,從未遇過 / 不確定,4,4,4,圖一,5,不確定,5,圖六,5,圖八,5,會覺得奇怪，但不一定會改密碼
3/3/2025 3:53:16,男,< 18,學生,從未遇過 / 不確定,1,1,5,不確定,5,不確定,5,不確定,5,圖八,5,會覺得奇怪，但不一定會改密碼
3/3/2025 4:19:58,男,18 - 24,學生,是，並且有受害,3,4,5,不確定,5,不確定,3,圖五,3,圖八,5,會馬上改密碼，防止帳號被盜
3/3/2025 7:33:01,女,18 - 24,學生,從未遇過 / 不確定,4,3,4,不確定,4,不確定,4,不確定,5,不確定,4,會覺得奇怪，但不一定會改密碼
3/3/2025 7:48:18,女,18 - 24,學生,是，並且有受害,3,3,4,圖一,5,不確定,4,圖五,5,不確定,4,會覺得奇怪，但不一定會改密碼
3/3/2025 8:02:47,女,18 - 24,學生,從未遇過 / 不確定,2,2,4,不確定,5,不確定,4,圖六,4,圖八,4,會覺得奇怪，但不一定會改密碼
3/3/2025 8:29:17,男,25 - 34,學生,從未遇過 / 不確定,1,3,3,圖一,5,不確定,2,圖六,2,圖八,5,會覺得奇怪，但不一定會改密碼
3/3/2025 8:37:33,男,18 - 24,學生,從未遇過 / 不確定,4,5,5,不確定,5,不確定,1,圖六,1,圖八,1,會馬上改密碼，防止帳號被盜
3/3/2025 10:04:07,女,25 - 34,學生,是，並且有受害,2,2,4,不確定,5,不確定,4,圖五,4,圖八,4,不會特別在意，繼續使用網站
3/3/2025 10:08:27,男,18 - 24,學生,從未遇過 / 不確定,1,2,5,不確定,5,不確定,3,圖六,3,圖八,5,會覺得奇怪，但不一定會改密碼
3/3/2025 10:40:50,女,18 - 24,學生,從未遇過 / 不確定,2,3,5,圖二,5,圖三,5,圖五,5,圖八,4,會馬上改密碼，防止帳號被盜
3/3/2025 11:27:35,男,18 - 24,學生,從未遇過 / 不確定,3,1,5,不確定,5,不確定,5,不確定,3,圖八,5,會覺得奇怪，但不一定會改密碼
3/3/2025 11:50:59,男,18 - 24,學生,是，但沒有受害,4,4,4,圖一,4,圖三,4,圖六,4,圖八,5,會覺得奇怪，但不一定會改密碼
3/3/2025 11:56:45,男,18 - 24,學生,是，但沒有受害,1,5,1,不確定,1,圖四,4,不確定,5,圖七,3,不會特別在意，繼續使用網站
3/3/2025 12:02:33,男,18 - 24,學生,是，但沒有受害,3,3,3,圖一,3,圖三,3,圖五,3,圖七,3,會馬上改密碼，防止帳號被盜
3/3/2025 12:12:03,女,18 - 24,學生,從未遇過 / 不確定,5,3,4,圖一,5,不確定,5,圖六,5,圖七,5,會覺得奇怪，但不一定會改密碼
3/3/2025 12:28:19,男,18 - 24,學生,從未遇過 / 不確定,1,3,5,不確定,5,不確定,4,圖五,3,圖八,4,會覺得奇怪，但不一定會改密碼
3/3/2025 15:29:15,女,>  44,就業,從未遇過 / 不確定,3,5,5,不確定,5,不確定,5,不確定,5,不確定,5,會覺得奇怪，但不一定會改密碼
3/3/2025 17:08:13,女,25 - 34,學生,從未遇過 / 不確定,5,3,4,圖一,5,不確定,3,圖五,3,圖八,5,會覺得奇怪，但不一定會改密碼
3/3/2025 19:22:33,男,18 - 24,學生,是，並且有受害,1,2,4,圖一,4,圖三,1,圖六,1,圖八,5,會覺得奇怪，但不一定會改密碼
3/3/2025 23:00:33,男,>  44,就業,是，但沒有受害,3,3,4,圖一,4,不確定,4,圖五,4,圖八,4,會覺得奇怪，但不一定會改密碼
3/4/2025 1:13:56,女,18 - 24,學生,是，但沒有受害,4,4,4,圖一,5,不確定,4,圖五,4,圖八,5,會覺得奇怪，但不一定會改密碼
3/4/2025 2:26:56,女,25 - 34,學生,從未遇過 / 不確定,4,3,4,圖一,4,不確定,3,圖五,4,不確定,4,會覺得奇怪，但不一定會改密碼
3/4/2025 10:03:31,女,>  44,就業,從未遇過 / 不確定,1,2,5,不確定,5,不確定,5,不確定,5,不確定,5,不會特別在意，繼續使用網站
3/4/2025 15:47:09,女,>  44,就業,是，並且有受害,1,1,5,不確定,5,不確定,5,不確定,4,圖八,4,會覺得奇怪，但不一定會改密碼
3/4/2025 16:14:57,男,35 - 44,就業,是，並且有受害,1,3,4,圖一,5,不確定,5,圖五,5,不確定,5,會覺得奇怪，但不一定會改密碼
3/4/2025 16:24:13,女,18 - 24,學生,是，並且有受害,2,1,5,不確定,5,不確定,4,不確定,4,不確定,4,不會特別在意，繼續使用網站
3/4/2025 16:24:50,女,>  44,就業,從未遇過 / 不確定,5,1,5,不確定,5,不確定,5,不確定,5,不確定,5,會馬上改密碼，防止帳號被盜
3/4/2025 17:55:49,男,18 - 24,學生,是，但沒有受害,4,4,3,圖一,4,不確定,2,圖六,2,圖八,5,會馬上改密碼，防止帳號被盜
3/4/2025 19:10:41,女,18 - 24,學生,從未遇過 / 不確定,4,2,5,不確定,5,不確定,5,不確定,5,不確定,4,會覺得奇怪，但不一定會改密碼
3/5/2025 10:10:22,女,>  44,就業,是，但沒有受害,5,5,3,圖一,3,圖四,3,圖五,3,圖八,5,會馬上改密碼，防止帳號被盜
3/5/2025 12:26:51,男,18 - 24,學生,是，但沒有受害,1,3,5,圖二,5,不確定,4,圖六,2,圖八,4,會覺得奇怪，但不一定會改密碼
3/9/2025 0:10:26,女,18 - 24,學生,從未遇過 / 不確定,3,3,5,不確定,5,不確定,5,不確定,1,圖八,4,會覺得奇怪，但不一定會改密碼
3/11/2025 12:18:27,男,18 - 24,學生,是，並且有受害,1,2,5,不確定,5,不確定,5,不確定,3,圖八,5,會覺得奇怪，但不一定會改密碼
